Date,Open,High,Low,Close,12-day ema,26-day ema,MACD,Volume
19-04-02,45550,46100,45350,45750,45087.72813,3150.361264,41937.36686,9480688
19-04-03,46750,46750,45800,46600,45320.38534,3209.51637,42110.86897,12436570
19-04-04,46150,47100,46150,46950,45571.09529,3230.891903,42340.20338,12650168
19-04-05,46950,47550,46600,46850,45767.84986,3221.840224,42546.00963,8546339
19-04-08,47250,47250,46150,46650,45903.56526,3207.721692,42695.84357,8507909
19-04-09,46700,46950,46200,46650,46018.40138,3208.807733,42809.59364,6878761
19-04-10,46400,46700,46050,46700,46123.2627,3212.427895,42910.83481,11883995
19-04-11,46700,46800,46150,46250,46142.76075,3178.816088,42963.94466,13697399
19-04-12,46050,46900,46000,46850,46251.56679,3225.846056,43025.72073,7668936
19-04-15,47150,47500,47000,47050,46374.40267,3237.043181,43137.35949,8733019
19-04-16,47400,47400,46800,47250,46509.10995,3250.996678,43258.11327,7730881
19-04-17,47300,47600,47000,47050,46592.3238,3235.108518,43357.21529,5513658
19-04-18,47200,47250,45500,45600,46439.6586,3128.923276,43310.73533,12808747
19-04-19,45750,46000,45250,45300,46264.32651,3114.86915,43149.45736,8479710
19-04-22,45400,45900,45100,45350,46123.66089,3119.65394,43004.00695,6006957
19-04-23,45050,45500,45000,45200,45981.55922,3108.174768,42873.38445,6920566
19-04-24,45400,45650,44150,44750,45792.08857,3075.724448,42716.36412,13299267
19-04-25,44250,45000,44100,44650,45616.38263,3070.813219,42545.56942,10868965
19-04-26,44200,45000,43800,44850,45498.47761,3086.005821,42412.47179,9739982
19-04-29,45150,46150,45100,46150,45598.71183,3181.133455,42417.57837,8777517
19-04-30,46000,46300,45350,45850,45637.37155,3151.593723,42485.77782,11121273
19-05-02,45500,46150,45400,45900,45677.77592,3157.569714,42520.20621,8625126
19-05-03,45900,46050,45300,45300,45619.65655,3112.665578,42506.99097,6562916
19-05-07,45250,45300,44400,44850,45501.24785,3082.786409,42418.46144,12014907
19-05-08,44300,44850,44200,44250,45308.74818,3040.640362,42268.10782,10398754
19-05-09,43900,44250,42450,42450,44868.94077,2910.549032,41958.39174,23029718
19-05-10,42600,43450,42450,42900,44566.0268,2953.889391,41612.13741,14579512
19-05-13,42500,43200,42350,42650,44271.25345,2932.036998,41339.21645,7635079
19-05-14,41300,43100,41300,42650,44021.82984,2933.717952,41088.11189,11563730
19-05-15,42700,43050,42550,42550,43795.39448,2926.18124,40869.21324,7670185
19-05-16,42350,42400,41350,41550,43449.94918,2852.686913,40597.26226,13687828
